id,name,ally,villages,points,att,def,sup,all
1577483044,sadikx3,0,1,26,0,0,0,0
1577483116,Frühlingsbock,541,1,4087,197,26,558,781
1577483258,FrankENStein13,192,1,971,0,0,0,0
1577483288,Valpharis,348,1,653,0,0,0,0
1577483293,marcel601,484,1,26,0,0,0,0
1577483302,Lordhaze,497,4,16414,31747,100,3919,35766
1577483451,Don Arno,61,1,6082,30,0,0,30
1577483473,skillerpro,0,1,917,0,132,0,132
1577483530,c0rdyc3ps,192,1,831,0,0,0,0
1577483577,Vorortservice,0,1,886,0,0,0,0
1577483597,Renfield,140,1,458,0,0,0,0
1577483612,Bubu94,0,1,289,0,338,0,338
1577483655,bluefroc,340,1,2005,0,54,0,54
1577483707,pliro88,0,1,86,91,2353,0,2444
1577483716,honeyprinz1988,0,1,180,0,0,0,0
1577483735,Blackuni,205,1,478,0,0,0,0
1577483788,Gigabyte1024,621,1,252,0,709,0,709
1577483801,snoopy666,314,1,3135,186,553,0,739
1577483824,Senjin,232,2,5841,5114,0,141,5255
1577483845,Senju Wakasa,232,2,5641,9108,280,0,9388
1577483905,ueli de schwert92,0,1,26,0,0,0,0
1577484164,Dynamigan05,0,1,540,116,0,0,116
1577484249,BlackIce,0,2,3955,3021,610,0,3631
1577484370,SaschaRS,18,1,1961,23219,75978,1229,100426
1577484420,kingsanny287,235,1,1692,0,0,0,0
1577484423,meli30,266,1,4111,95,0,0,95
